id,sku,marca,nome,imagemDestaque,imagens,cores,valor,desconto,descricao,tamanhos,destaque,oferta,id_produto_categoria
1,BBW550BC,NewBalance,"New Balance 550 UNC",new-balance-550-01.png,""new-balance-550-01.png", "new-balance-550-02.png", "new-balance-550-03.png"",multicolor,399.90,299.00,"O Tênis New Balance 550 homenageia o calçado original de basquete criado em 1989, época que definiu uma geração de atletas da modalidade. O modelo oferece fechamento em cadarço para um ajuste seguro e traz originalidade aos looks casuais.",35,1,0,1
2,DV5255500,Nike,"UNDEFEATED x Nike Air Force 1",nike-undefeated-01.png,""nike-undefeated-01.png","nike-undefeated-02.png", "nike-undefeated-03.png"",multicolor,299.90,199.00,"Dark Marina Blue, Sangria e Pinksicle se unem em um rico couro envernizado neste tênis de colaboração. E nós mencionamos que não há 2 painéis iguais? A parte superior multicolorida fica no topo de uma entressola branca e é amarrada por um Swoosh laranja. Uma etiqueta de língua tecida laranja e vermelha serve como um aceno para um lançamento inicial do UNDEFEATED, enquanto uma impressão total na palmilha fornece um detalhe oculto. Para finalizar o visual, há um gráfico 5 Strikes sutil e gravado no calcanhar e um dubrae “UNDFTD” fácil de remover - que é exclusivo desta silhueta.",34,1,0,1
5,DR0156300,Nike,"Nike Dunk Low Safari Swoosh",nike-dunk-low-safari-01.png,"nike-dunk-low-safari-01.png","nike-dunk-low-safari-02.png", "nike-dunk-low-safari-03.png",branco,599.90,299.00,"Criado para as quadras, mas conquistou as ruas, o ícone do basquete dos anos 80 retorna com detalhes clássicos e um toque retrô. As sobreposições de camurça flexível ajudam o estilo vintage do Dunk Low, enquanto os logotipos Swoosh estampados em negrito adicionam um toque selvagem. Além disso, o colarinho acolchoado de baixo perfil mantém você confortável em qualquer lugar.",35,1,0,2
14,1201A516300,Asics,"Sneaker Politics x Asics Gel Lyte",sneaker-politics-x-asics-01.png,sneaker-politics-x-asics-01.png,verde,599.00,399.00,"A ASICS e a Sneaker Politics apresentam os detalhes do novo GEL-LYTE III ‘Always Ready’, a mais nova colaboração entre as marcas e que chega ao mercado a partir de amanhã, 11 de junho. O design foi inspirado no exército dos EUA e a criação é uma forma de agradecimento aos soldados americanos. Em 1999, o fundador da Sneaker Politics, Derek Curry, entrou para o exército e foi escolhido para passar nove meses no Iraque, em 2003. Curry deve muito do seu sucesso profissional aos aprendizados e valores que aprendeu enquanto serviu ao exército.",36,1,0,2
15,1201A871961,Asics,"Asics Gel-Lyte V Pink Aqua Multicolor",AsicsGel-LyteVPink-01.png,AsicsGel-LyteVPink-01.png,multicolor,399.00,299.00,"O tênis GEL-LYTE® V se inspira na ideia de descartar o conteúdo do chão de uma sala de edição e usá-lo para criar algo novo.",39,0,1,3
16,HP9782,Adidas,"Adidas Orketro 2.0 Blue Bird",adidasOrketro-01.png,adidasOrketro-01.png,multicolor,299.00,199.00,"O adidas Orketro retrocede até pouco antes do século 21, quando a inovação em tênis leves de corrida decolou. Esta atualização oferece um forro confortável e uma parte superior macia que acompanha uma sola de borracha para estabilidade e aderência.",37,0,1,1
17,U9060FNB,"New Balance","New Balance 9060 Blue Haze",NewBalanceBlueHaze-01.png,NewBalanceBlueHaze-01.png,"azul claro",599.00,299.00,"Vestido com um bloco de cores Blue Haze e Turtledove. Esta oferta do New Balance 9060 vem construída em uma mistura de materiais de malha, camurça e couro. Outros detalhes incluem logotipos “N” bordados na parte central sobre uma sola de borracha de dois tons para completar o design.",39,0,1,1
18,DV3888600,Nike,"Nike Air Max 1 87 Burgundy Crush",nike-air-max-burgundy-crush-01.png,nike-air-max-burgundy-crush-01.png,marrom,599.00,299.00,"Fascínio: a qualidade de usar este Air Max 1 feito à mão. Feito de couro premium, ferragens douradas metálicas e um forro incrivelmente macio, eles são a nova definição de estilo. A marca elevada refina o seu ajuste, enquanto a janela Air cristalina (inspirada na arquitetura francesa e celebrada pelo esporte e pela moda) permite que você veja o mundo do conforto. Amarre, porque não há como conter seu próximo movimento.",42,0,1,4
19,LAL10292,Adidas,"Adidas Forum Bold",tenis-principal-vect.png,tenis-forum-2.png,roxo,599.00,299.00,"Fascínio: a qualidade de usar este Air Max 1 feito à mão. Feito de couro premium, ferragens douradas metálicas e um forro incrivelmente macio, eles são a nova definição de estilo. A marca elevada refina o seu ajuste, enquanto a janela Air cristalina (inspirada na arquitetura francesa e celebrada pelo esporte e pela moda) permite que você veja o mundo do conforto. Amarre, porque não há como conter seu próximo movimento.",39,0,0,4
20,LAL102323,Nike,"Nike SB Dunk High",nike_sb_dunk-high.png,nike_sb_dunk-high_02.png,laranja,899.00,699.00,"Vestido em camurça e amostras de couro premium de University Gold, Vivid Sulphur e Citron Tint, o -Pineapple- SB Dunk High vem em um sabor brilhante e suculento para os dias mais ensolarados que virão.",38,0,0,4
21,LAL131313,Vans,"Old Skool VANS X COBRA KAI",vans_cobra-kai.png,vans_cobra-kai_02.png,preto,699.00,599.00,"Vans e Cobra Kai se uniram para uma coleção que celebra o karatê, a nostalgia e a juventude. Com as rivalidades esquentando na 5ª temporada, a Vans criou silhuetas clássicas da Vans para homenagear três dojos competindo no All-Valley Karate Championship. Quem será seu sensei?",37,0,0,1
22,BHL1316,Puma,"Puma MAYZE UT POP",mayze-ut-pop_03.png,mayze-ut-pop_02.png,branco,699.00,599.00,"Para as garotas hype, as entusiastas das ruas, as criadoras de tendências – apresentamos o Mayze. Este modelo tem uma sola robusta para um visual que mostra quem você é, independentemente do estilo que você escolher.",38,0,0,2
23,MNA2316,Puma,"Puma Velocity Nitro",puma_velocity-nitro_p.png,puma_velocity-nitro_02.png,azul,999.00,899.00,"Inovador e extremamente confortável, o tênis Velocity Nitro 2 Running chegou para ser o seu mais novo parceiro de corrida.",36,0,0,4
24,ANA361609,Puma,"RS-X SKELETOR PUMA X HE-MAN",puma-x-he-man_p.png,puma-x-he-man_02.png,roxo,899.00,799.00,"Para comemorar o 40º aniversário da clássica série He-Man e os Defensores do Universo, essa versão do RS-X homenageia o principal antagonista do super-herói: Skeletor.",35,0,0,3
